identifier,text,keywords,Score
XIN_ENG_20071024.0221,"Full text of Hu Jintao's report at 17th Party Congress (8). All this shows that through the unremitting efforts we have made since the founding of the People's Republic in 1949, particularly since the introduction of the reform and opening up policy, China has scored achievements in development that have captured world attention, and experienced far-reaching changes in the productive forces and the relations of production, as well as in the economic base and the superstructure. However, the basic reality that China is still in the primary stage of socialism and will remain so for a long time to come has not changed, nor has Chinese society's principal contradiction - the one between the ever-growing material and cultural needs of the people and the low level of social production. The current features of development in China are a concrete manifestation of that basic reality at this new stage in the new century. Stressing recognition of the basic reality is not meant to belittle ourselves, wallow in backwardness, or encourage unrealistic pursuit of quick results. Rather, such recognition will serve as the basis of our endeavor to advance reform and plan for development. We must always remain sober-minded, base our efforts on the most significant reality that China is in the primary stage of socialism, scientifically analyze the new opportunities and challenges arising from China's full involvement in economic globalization, fully understand the new situation and tasks in China's advance toward an industrialized, information-based, urbanized, market-oriented and internationalized country, have a good grasp of the new issues and problems we face in development, follow more conscientiously the path of scientific development, and strive to open up a broader vista for developing socialism with Chinese characteristics. The Scientific Outlook on Development takes development as its essence, putting people first as its core, comprehensive, balanced and sustainable development as its basic requirement, and overall consideration as its fundamental approach. - We must regard development as the top priority of the Party in governing and rejuvenating the country. Development is of decisive significance for building a moderately prosperous society in all respects and speeding up socialist modernization. We must firmly commit ourselves to the central task of economic development, concentrate on construction and development, and keep releasing and developing the productive forces. We must better implement the strategy of rejuvenating the country through science and education, the strategy of strengthening the nation with trained personnel and the strategy of sustainable development. We must grasp the law of development, make innovations in our thinking, transform the mode of development, crack hard issues and raise quality and efficiency to achieve sound and rapid development, so that we can lay a solid foundation for developing socialism with Chinese characteristics. We must strive for scientific development by putting people first and making it comprehensive, balanced and sustainable; we must strive for harmonious development by integrating all undertakings and promoting unity and amity among all members of society; and we must strive for peaceful development in the course of which China develops itself by safeguarding world peace and contributes to world peace by developing itself. - We must always put people first. Serving the people wholeheartedly is the fundamental purpose of the Party, and its every endeavor is for the well-being of the people. We must always make sure that the aim and outcome of all the work of the Party and the state is to realize, safeguard and expand the fundamental interests of the overwhelming majority of the people. We must respect the principal position of the people in the country's political life, give play to their creativity, protect their rights and interests, take the path of prosperity for all and promote their all-round development, to ensure that development is for the people, by the people and with the people sharing in its fruits.  (More)","{'well-being', 'innovation', 'development', 'economic development'}",0.49775422332487057
XIN_ENG_20030326.0175,"CAS president unveils 2003 development plan. Lu Yongxiang, president of the Chinese Academy of Sciences (CAS), said here Wednesday the CAS will quicken its step to improve the capability of high-tech innovation in order to help China's development. Lu also unveiled a three-part strategy for the CAS new development period in innovation of science and technology, talents for innovation and sustainable development of innovation. Since the implementation of its first project on innovation of science and technology six years ago, CAS has made great progress in the field and contributed much to the country's economic development, the president said. Lu urged researchers of the CAS to redouble their efforts to enhance international communication and cooperation in innovation of science and technology.","{'innovation', 'development', 'research', 'economic development'}",0.3400755751845424
XIN_ENG_20051012.0355,"EU to boost research and innovation. The European Commission, the  executive arm of the European Union (EU), on Wednesday unveiled an integrated innovation and research action plan, in a bid to boost  research and innovation in the 25-nation bloc. The Commission launches 19 ambitious initiatives to promote  innovation and research, such as redeployment of state aid,  improved efficiency of intellectual property protection, creation  of innovation poles, and improving university-industry  partnerships. For the first time, the plan offers an integrated approach to  EU research and innovation policies, and is particularly focused  on improving the conditions for private sector investment in R&D ( research and development) and innovation. According to the Commission, the EU invests about a third less  in research than the United States, and the EU/US innovation gap  has not narrowed in recent years. Meanwhile, emerging countries  like China and India are fast becoming world-class centers of  research and innovation. ""Innovation and research are crucial if the EU is to return to  sustainable growth. Every cent which goes into innovation and  research is a cent invested in jobs, growth and hence our future,"" said EU Vice-President Gunter Verheugen responsible for enterprise and industry policy.","{'innovation', 'development', 'research', 'action'}",0.28284729282675053
XIN_ENG_20051012.0161,"China adopts ""new concept"" to ensure ""real development"". The 16th Central Committee of the  Communist Party of China (CPC) concluded its fifth plenary session with a call for a scientific approach to the development of the  nation's economy ""Putting people first and adopting a scientific approach to  development is the essence of the proposal for the 11th Five-Year  Plan approved by the plenary session,"" said Chang Xiuze, an  economic researcher working with the National Development and  Reform Commission (NDRC). The proposal put forward six ""key"" principles which are to  maintain stable and fast economic growth, speed up changes to the  mode of economic development, enhance the capacity for independent innovation, reinforce the building of a harmonious society and  ensure further reform and opening up. ""China is moving from the blind pursuit of gross domestic  product (GDP) to a focus on prosperity for all the people,"" said  Hu Angang, a  macroeconomics expert with Qinghua University. The new concept is a shift from unbalanced growth to  comprehensive development, from unfair to fair development, from  unsustainable to sustainable development, said Hu.","{'innovation', 'development', 'research', 'economic development'}",0.257051261509792
XIN_ENG_20090916.0402,"Low-carbon industrialization ""possible but hard"". A research report issued by Chinese energy experts Wednesday suggests China could possibly follow a low-carbon path toward industrialization but the task would be hard. The report said there would still be increases of greenhouse gas emissions in China as it headed toward industrialization and urbanization -- but if it found a low-carbon development path that fitted in with its reality, emissions might increase slowly or even reduce. The report was issued by a research group of the Energy Research Institute, National Development and Reform Commission and another 10 institutes. More than 100 researchers were involved in the study. China has set the target of becoming an industrialized and developed country by 2050. The report warned China's current mode of economic development could not be sustained although it has achieved average growth of 10 percent annually during the past 30 years since the country adopted its opening up policy.","{'industrialization', 'development', 'research', 'economic development'}",0.2394916460815885
XIN_ENG_20100315.0416,"Full Text:Report on China's national economic, social development
plan(6). 5. We took new steps to balance development among different regions. We thoroughly implemented the master strategy for regional development. We made substantial progress in the main tasks for promoting large-scale development of the western region. Construction began on 18 major infrastructure projects, with a total investment of 468.9 billion yuan. Industries that can take advantage of local strengths enjoyed faster development. We further strengthened the development of infrastructure, social programs and projects for people's wellbeing in the region. The revitalization of northeast China and other old industrial bases accelerated. We promulgated and implemented the Guidelines on Further Implementing the Strategy for Revitalizing Northeast China and Other Old Industrial Bases. The policy framework for sustainable development of resource- dependent cities took shape. We expanded the work to clear up non-performing loans in the equipment manufacturing industry. Modern agriculture and modern services developed quickly. We made new progress in energizing the development of the central region. We promulgated and implemented the plan for promoting the development of the central region. We pressed ahead with efforts to build three different types of production bases and a system of integrated transportation hubs. Powerful momentum was maintained in developing clusters of cities. Industries relocated to the region at a faster pace. The overall economic strength of the region further improved. In the eastern region, efforts were intensified to ease the impacts of external demand contraction, accelerate restructuring and independent innovation, and foster emerging industries of strategic importance. The region witnessed stronger vitality in economic development and greater overall competitiveness. The development and opening up of special economic zones, the Shanghai Pudong New Area and the Tianjin Binhai New Area, deepened.","{'innovation', 'development', 'action', 'economic development'}",0.23856870475583036
APW_ENG_20031211.0395,"Officials at technology summit push Internet as way to further
development and democracy. The Internet can bolster democracy and further economic development in poorer countries, but only with strong government backing and more money for computers and Internet connections, leaders at an international technology summit said Thursday. The three-day meeting aiming to ``bridge the digital divide'' between rich and poor nations has already been overshadowed by the issue of press freedoms and a dispute over who should manage the Internet and how. Irish Prime Minister Bertie Ahern said Thursday the Internet has created a global society that should ensure all people can take advantage of information technology. But, he said, achieving it requires the same actions that are needed to promote development generally. ``We need better governance, sound economic management, more overseas development assistance, more debt relief, a fair world order and a focus on the fight against HIV/AIDS,'' Ahern said. ``Poverty springs from isolation, and isolation has its breeding ground in the lack of information and communication,'' said Eduardo Calix, El Salvador's vice foreign minister.","{'development', 'information technology', 'action', 'economic development'}",0.23673691805809421
XIN_ENG_20101108.0424,"Ministry denies claim research funding system impedes innovation. A spokesperson for China's Ministry of Science and Technology (MOST) Monday denied recent claims that the Chinese government's research funding system obstructs the country's pace of innovation. In an article published in Science magazine in September, Shi Yigong and Rao Yi, professors at Tsinghua University and Peking University, respectively, said ""rampant problems"" in government research funding impede Chinese innovation, even as government funding of research has grown 20 percent annually in recent years. Calling the claims untrue, the unnamed MOST spokesperson said Chinese government research funds, especially those for key research projects, have over the years solved several major scientific problems and contributed greatly to the nation's social and economic development. Shi Yigong and Rao Yi have both led government-funded research projects. The spokesperson said the ministry has ""zero tolerance"" for misconduct in scientific research.","{'innovation', 'development', 'research', 'economic development'}",0.23110420837837017
CNA_ENG_20010327.0014,"PRESIDENT PITCHES FOR DIVERSIFIED, BALANCED INDUSTRIAL DEVELOPMENT. President Chen Shui-bian said Tuesday the government is drafting a blueprint for the development of a new generation of high-technology industries. ""And the blueprint will highlight two key principles -- diversified industrial development and regional balance,"" Chen said during an inspection tour of a land lot reserved for construction of a biotech and medical industry park in Chupei in northern Taiwan's Hsinchu County. Noting that the Hsinchu Science-based Industrial Park in Hsinchu City has helped nurture Taiwan's first generation of high-tech industries, including electronics, information technology and semiconductors, Chen said Taiwan now must develop a second generation of high-tech industries to maintain its market niches. ""As changing global economic trends have posed new challenges to our industrial development and economic well-being, we must face up to this reality and push for structural adjustments in the industrial sector,"" Chen said. The president went on to say that he has reminded the Cabinet to pay more heed to industrial diversification and regional balance in drafting the new blueprint for second-generation high-tech development.","{'industrial diversification', 'development', 'information technology', 'well-being'}",0.22361296861969687
XIN_ENG_20000905.0196,"China to Expand Foreign Cooperation on Major Research Projects. China will expand international cooperation on major state research and development projects, Zhu Lilan, Minister of Science and Technology said today. Foreign research institutes are welcome to open research and development centers in China with Chinese counterparts while Chinese high-tech bodies will also be encouraged to establish research organs overseas, Zhu said. She said this at the Technological Innovation Seminar, which opened here today. Since China is facing the opportunity of entering the World Trade Organization (WTO), technological innovation will be launched in a more open environment in the 21st Century, she said. China will play an active role in the construction of global and regional scientific research and a high-technology industrialization cooperation network in the country.","{'industrialization', 'innovation', 'development', 'research'}",0.2223300091390661
