,identifier,text,keywords
0,AFP_ENG_19940923.0246,"Vatican condemns rise in prostitution, cardinal slams brothels. The Vatican has condemned the rise in prostitution among young girls in a document, extracts of which were published Friday by the Italian bishops' news agency SIR. The statement, first presented in June to UN experts in Geneva, has been drafted for the European Conference of the United Nations, meeting in Vienna from October 17 to 21 to prepare for the Sixth World Conference on Women to take place in Beijing in September 1995. ""The sexual exploitation of young women through prostitution,"" the document said, ""is causing moral and emotional harm by degrading people in the name of profit and often leaving young girls unable to return to normal life."" The document also condemned sexual, moral and psychological violence against women. Elsewhere, Naples' Cardinal Archbishop Michele Giordano called a recent proposal by former Social Democrat deputy Antonio Bruno to reopen brothels, closed in Italy since 1958, as ""cynical"".","{'sexual exploitation', 'violence', 'exploitation'}"
1,AFP_ENG_19941222.0150,"Pope denounces massacres of children, abortion. Pope John Paul II Thursday closed the Vatican's Year of the Family by denouncing killings and exploitation of children worldwide and launching a new attack on abortion. In a speech to local members of the Roman Catholic clergy recapping the year's activities, the pope referred to ""truly terrifying facts"" that had come to light on the fate of children in certain countries. He cited ""the brutal massacre of street children, the prostitution into which they are forced and the trade practised by organisations selling body parts for transplant. ""My thoughts are also with minors who have fallen victim to violence and war, and to children used for drug trafficking and other criminale activities."" The pontiff also denounced the later modified draft declaration from September's UN Population Conference in Cairo, which he said had been ""absolutely unacceptable"" and was a ""serious threat to the dignity of marriage and the family.""","{'trafficking', 'violence', 'exploitation'}"
2,AFP_ENG_19950813.0139,"Discrimination blocks progress of Chinese women by Tiffany Brown (picture). More than four decades of legally enshrined sexual equality in China has done little to change deep-rooted discrimination that has kept most women from rising to the top of the career ladder. Mao Zedong's dictum that ""women hold up half the sky"" was no hollow slogan, with the communists ending many traditional abuses like footbinding and arranged marriages after 1949 and giving numerous women a first taste of economic independence by bringing them out of the kitchen into the workplace. In numerical terms, women's political participation also increased dramatically under Mao. But their decision-making power remained limited and, with their jobs ensured by state quotas rather than by tackling the roots of discrimination, old attitudes simply lay dormant, resurfacing with a vengeance when competition returned to China under economic reforms introduced in 1979. ""China's women's liberation movement was not initiated by women themselves in the 1950s but by the government, so, although there were many gains, they were superficial,"" said one long-time campaigner for women's rights.","{'participation', 'discrimination', 'decision-making'}"
3,AFP_ENG_19950816.0081,"(releasable at 0100 GMT Thursday) Chinese women victims of violence ""epidemic"": report. Hundreds of millions of Chinese women are being subjected to an ""epidemic"" of violence as they bear the brunt of the negative effects of China's economic reform, a human rights watchdog said Thursday. According to a report compiled by the New York-based Human Rights in China (HRC), women and girls in China have been the ""silent victims"" of government policies which encourage or tacitly accept human rights abuses. ""An epidemic of violence affects the lives of hundreds of millions of Chinese women, while widespread discrimination in education both reflects and reinforces social prejudices,"" said the report, released in the run up to next month's Fourth World Conference on Women. The report, entitled ""Caught between Tradition and the State,"" focused on the trafficking and domestic abuse of women, rights violations carried out in the name of China's family planning policy, discrimination in the workplace and controls on women's freedom of expression and association. Hundreds of thousands of women have been abducted or tricked into virtual slavery as ""wives"" or prostitutes, it said, adding that law enforcement campaigns had failed to eradicate the trade.","{'trafficking', 'violence', 'discrimination'}"
4,AFP_ENG_19960304.0607,"Sexual exploitation of women on the rise: UNESCO. Sexual exploitation of women has increased hugely in recent years and has become an international ""industry"", a UNESCO meeting on violence against women was told Monday. The last few years have seen ""an enormous increae in prostitution, trafficking of women and children for sex,"" said Janice Raymond of the Massachussets University. She said these activities were ""extending freely in countries opening to market economies"" like Vietnam, Thailand or Cuba, she said. Similar concern was voiced by Asuncion Miura, who is responsible for women's affairs in the Madrid regional government.  She said a growing number of women were arriving in Spain from Latin America and from ""eastern Europe, Nigeria, Guinea, Cape Verde and the Dominican Republic"" to work as prostitutes. ""We thought many of them had been deceived"" about their destination, but a large number know exactly where they are going and are sometimes given ""contracts as dancers"", she said.","{'trafficking', 'violence', 'exploitation'}"
5,AFP_ENG_19960506.0445,"Women need technological skills to attain gender equality: forum by Pia Ohlin. Women leaders from around the world agreed Monday that women must educate themselves in the traditionally male-dominated and rapidly developing field of technology if they are to attain gender equality and play a strong role in the new challenges facing leadership. That was the consensus on the second day of the three-day International Women's Leadership Forum here, gathering more than 900 women from top politicians to senior civil servants, scientists, business heads and teachers. ""The challenges confronting leadership in the future include ensuring the equal participation of women and men in the new structures. For this reason in particular, women should be given access to technical knowledge and skills,"" the president of the German Bundestag, Rita Sussmuth, said. ""This means helping them overcome barriers while still at school or in training, raising the number of women in senior positions in technical fields, offering more opportunities for further training in technical occupations, and strengthening networks in the technical field,"" she said. The Forum's objective is to ensure that the leadership resources of both men and women are fully utilized, and provides an exchange of information for women leaders.","{'participation', 'leadership', 'gender equality'}"
6,AFP_ENG_19960610.0252,"Former Communist states now biggest source of trafficking in women. The former communist states of Europe have displaced developing countries as the biggest source of women entering the EU who fall victim to trafficking and sexual exploitation, an international conference on trafficking in women was told here today. Organised by the European Commission and the International Migration Organisation (IMO), the conference heard calls for much tougher laws against trafficking in women, which some delegates said was less severely punished than drug trafficking. The two-day meeting aims at identifying the causes and consequences of female trafficking, which has considerably increased since the fall of communism.  It is also due to draw up a joint plan of action to eradicate the ill. ""Female trafficking is not a new phenomenon but before it was mainly women from the developing countries who were drawn to Europe, where they were forced into prostitution"", said the European Commissioner for Justice. ""(...) nowadays these women come mostly from the Baltic states and central and eastern European countries"", said Anita Gradin.","{'trafficking', 'sexual exploitation', 'exploitation'}"
7,AFP_ENG_19960610.0422,"Former Communist states now biggest source of trafficking in women. The former communist states of Europe have displaced developing countries as the biggest source of women entering the EU who fall victim to trafficking and sexual exploitation, an international conference on trafficking in women was told here today. Organised by the European Commission and the International Migration Organisation (IMO), the conference heard calls for much tougher laws against trafficking in women, which some delegates said was less severely punished than drug trafficking. The two-day meeting aims at identifying the causes and consequences of female trafficking, which has considerably increased since the fall of communism.  It is also due to draw up a joint plan of action to eradicate the ill. ""Female trafficking is not a new phenomenon but before it was mainly women from the developing countries who were drawn to Europe, where they were forced into prostitution"", said the European Commissioner for Justice. ""(...) nowadays these women come mostly from the Baltic states and central and eastern European countries"", said Anita Gradin.","{'trafficking', 'sexual exploitation', 'exploitation'}"
8,AFP_ENG_19960611.0307,"Trafficking in women: Austria grants residence to victims. Austria will grant residence permits to women who fall victim to trafficking and sexual exploitation if they testify against their tormentors, the Interior Ministry said here Tuesday. The Minister of Interior, Caspar Einem, said in a statement that the offer extended to these victims was ""the minimum condition required for the efficient judicial pursuit of traffickers."" Austria's announcement followed a two-day international conference on trafficking in women which ended earlier Wednesday. The conference was organised by the European Commission and the International Migration Organisation (IMO). The conference, which rallied some 150 European, US and Canadian experts, heard calls for much tougher laws against trafficking in women, which some delegates said was less severely punished than trafficking in drugs. Female trafficking has become an increasingly common form of illegal immigration towards EU countries, involving 500,000 women in Europe, the European Commission stated Tuesday.","{'trafficking', 'sexual exploitation', 'exploitation'}"
9,AFP_ENG_19960701.0081,"South Korea introduces landmark Women's Development Act. South Korea on Monday introduced a landmark Women's Development Act which will force the civil service to hire more women and raise awareness of equal rights, the Ministry of Political Affairs said. The new 36-article Act, claimed as a world first by Seoul, was enacted in December last year, after a South Korean delegation participated in the 4th World Conference on Women in Beijing in September, a ministry spokesman said. ""The purpose of the act is to promote gender equality and increase women's participation in the male-dominated Korean society,"" Kim Jang- Sook, second political affairs minister, told reporters. The Act is designed to strengthen opposition to sexual discrimination, develop women's abilities, beef up institutional support for women's employment and ease the burden of household drudgery, she said. Under the act effective July 1, the quota of women recruits for middle-level or sernior jobs in public service and state-run companies would be raised by law to 10 percent in 1996, 15 percent in 1998 and 20 percent in 2000, the ministry said.","{'participation', 'discrimination', 'gender equality'}"
