identifier,text,keywords,Score
XIN_ENG_20070628.0209,"Officials say relocation only effective remedy for poverty in China. Two senior officials of government have recommended the relocation of millions of Chinese as a better way to remove them from abject poverty than expensive development schemes. The organization of migrant workers and relocation of households would serve better in China's campaign to lift its remaining 26.1 million people out of absolute poverty, insisted Liu Jinqi, deputy director of foreign affairs office of Ningxia Hui Autonomous Regional Government. Asked by Xinhua to comment on the achievements of the 25-year state-backed poverty eradication campaign in northwest China, Liu said,    ""Poverty eradication is getting more difficult day by day and the progress in lifting people out of poverty is slowing noticeably."" Wang Guoliang, deputy head of the State Council Leading Group Office of Poverty Alleviation and Development, also said poverty eradication for 26.1 million Chinese in abject poverty would be extremely difficult as their living environments were execrable, with poor conditions for agriculture, backward infrastructure and social underdevelopment. ""I don't think the conventional methods of eradicating poverty, such as the launch of development projects with large amounts of funding, will produce the desired effect,"" said Wang.","{'workers', 'poverty eradication', 'poverty', 'development', 'poor'}",0.6567987521033232
XIN_ENG_20071123.0250,"Niger hosts UN strategic meeting on poverty eradication. A strategic planning workshop sponsored by the United Nations on poverty eradication for 2009- 2013 has opened here under the chairmanship of the Nigerien Justice Minister Dagra Mamadou, according to reports. The main objective of this workshop which opened Thursday is to determine the priorities of the United Nations in response to those formulated at the national level within the framework of enhanced development strategy and poverty eradication. During his address, the minister said that ""the millennium development goals summit held in Sept. 2000 transformed the international development goals into the millennium development goals (OMD), underscoring the vital role played by the UN in the mobilization of resources. ""The government of Niger is extremely happy to note the UN has adopted a strategic adjustment of its 2009-2013 development aid framework plan, for enhanced strategic development and poverty eradication on priority areas during the 2008-2012 period."" Niger, with a population of 12 million people, is considered as one of the world's poorest countries, according to reports.","{'mobilization', 'poverty eradication', 'poverty', 'development', 'poor'}",0.6166519089108442
APW_ENG_19960920.0621,"Agricultural Workers Get Poor Pay, Poor Protection, ILO Says By CAROLYN
HENSON. Whether picking lettuces in California or cutting sugar cane in Brazil, agricultural workers across the world are the poorest of the rural poor, the International Labor Organization said Friday. Paid often exploitatively low wages, they face dangerous working conditions with little or no social protection in times of accident or illness. Child labor, bonded work or even forced labor is prevalent. In a new report ``Wage workers in agriculture,'' the U.N. Labor agency makes an in-depth study into the working conditions of the sector. It calls for action from the ILO's 156 member countries. ``Our basic message is you will find workers in poverty in California, in east and west Europe, in Africa and the Caribbean,'' said Philippe Egger, author of the report.","{'social protection', 'workers', 'working conditions', 'poverty', 'low wage', 'poor'}",0.6046463202079349
XIN_ENG_20081209.0269,"Full Text: Wang Chen: China Registers Historic Progress in Human
Rights (5). Q. Great changes have taken place in the present-day international human rights. How do you view the present situation in this field? How do you think the world human rights cause can develop healthily? A. There are two prominent features in the current international human rights situation. One is that the international community has never attached such great importance to human rights as at present and human rights have become an important subject in international exchange and cooperation. Since the end of the Cold War, human rights issues have become increasingly important in international relations and international politics. With the rapid growth of economic globalization and informationization of social life, countries have become increasingly inter-dependent and mutually cooperative, thus accentuating the importance of human rights issues. Countries have attached more and more importance to human rights issues and reached more and more common understanding on these issues. In March 2006, the UN General Assembly adopted a resolution, deciding to set up the Human Rights Council under it to replace the Human Rights Commission affiliated to the UN Economic and Social Council. This shows that human rights have for the first time been juxtaposed with security and development as the ""three main pillars"" of the UN. In recent years, some countries have, according to the UN requirements, set up national human rights organizations such as national human rights commissions, thus putting the promotion and protection of human rights in a more important position. The second is that it has become a common call to have dialogue and oppose confrontation, making those who use human rights to create confrontation be more and more unpopular. All this represents progress and development in the area of international human rights. However, what cannot be ignored is that there are still factors of disharmony in the development of world human rights and there are still stiff challenges. For instance, as the new international political and economic order has not been established and the world economic development is still very uneven, and the South-North gaps continue to grow, the rights to survival and development of the people of developing countries are being seriously threatened. Some countries and regional groups have politicized and ideologized human rights by practicing double standards, flying the ""human rights"" flag to negate the sovereignty of other countries and carry out hegemonism and power politics, thus seriously spoiling the atmosphere of international cooperation in and obstructing the healthy development of human rights in the world. I think that to seek healthy development of human rights in the world, we must, first of all, face up to the prominent problems in the present-day world and rise up to safeguard the rights to survival and development of the people of all countries. At present, armed conflicts and other traditional security problems still exist; non-traditional security threats such as terrorism and the proliferation of weapons of mass destruction and environmental pollution have become more and more prominent, seriously threatening the innocent lives of millions of people. The South-North and poor-rich gaps have been further enlarged, with the developed countries with a population of less than 20 percent of the world's total controlling more than 85 percent of the global wealth while developing countries with more than 80 percent of the world's population enjoying less than 15 percent of the wealth of the world. There are more than one billion people in developing countries who are still suffering from poverty, hunger and diseases. Their survival and dignity have been seriously threatened. Only by rooting out the factors that seriously threaten and sabotage human rights, can the rights of the people of all countries be realized. Secondly, it is imperative to integrate the universality of human rights with the national conditions of various countries. All people of all countries should enjoy freedom and equality. This is the universal pursuit and common ideal of mankind. But, restrained by economic development level, cultural traditions and social systems, people have different understandings and demands with regard to human rights and their human rights problems that need priority solution also vary. Under the precondition of recognizing the universality of human rights, all governments and people have the right to adopt different policy measures and ways and means according to their respective national conditions to seek models and paths for human rights development best suited to their national conditions. The diversification of human rights development models not only fully reflects the diversity of civilizations and the wisdom and intelligence of the people of all countries, but also enriches and develops the human rights theories and practice in the world. Respect for the diversity of the human rights development models not only means respect for the national conditions of all countries, the wisdom and creativity of their people, the diversity of civilizations and ways of living, but also constitutes the important precondition for human rights development in the world.","{'control', 'poverty', 'hunger', 'development', 'poor', 'human rights'}",0.5958860426859701
APW_ENG_19960920.0682,"FOR RELEASE AT 0100 GMT MONDAY, TIME SET BY SOURCE Agricultural Workers
Get Poor Pay, Poor Protection, ILO Says. Whether picking lettuces in California or cutting sugar cane in Brazil, agricultural workers across the world are the poorest of the rural poor, the International Labor Organization said Friday. Paid often exploitatively low wages, they face dangerous working conditions with little or no social protection in times of accident or illness. Child labor, bonded work or even forced labor is prevalent. In a new report ``Wage workers in agriculture,'' the U.N. Labor agency makes an in-depth study into the working conditions of the sector. It calls for action from the ILO's 156 member countries. ``Our basic message is you will find workers in poverty in California, in east and west Europe, in Africa and the Caribbean,'' said Philippe Egger, author of the report.","{'social protection', 'workers', 'working conditions', 'poverty', 'low wage', 'poor'}",0.5947862429753035
XIN_ENG_20040210.0058,"Malaysian PM urges Asian countries to focus on poverty eradication. Prime Minister Abdullah Ahmad Badawi said on Tuesday that Asia should focus its attention on poverty eradication. ""Asia has a number of relatively affluent nations. Some of the world's most dynamic economies are in Asia. However, anyone looking at Asia cannot ignore its multitude of poor,"" he said in a keynote address at the ""Agenda Asia Conference"" which brings together several respected media organizations in Asia. Abdullah said it was estimated that about one in every five Asians, close to 600 million people, suffered from the effect of poverty and hunger, and even famine was still common in some countries. He said therefore it would be a tragic omission if Asia did not place poverty eradication at the top of its agenda. Outlining fundamental challenges confronting Asia, Abdullah said that the second critical challenge for the region was human development and any program to eradicate large-scale poverty must involve the wider issue of human development.","{'famine', 'poverty eradication', 'poverty', 'hunger', 'development', 'poor'}",0.5855791718987209
XIN_ENG_20050420.0173,"Zambian gov't launches new program to combat AIDS related child labor. The Zambian government on  Wednesday launched a new program aimed at combating HIV/AIDS  induced child labor. The three-year program will be implemented in conjunction with  the International Labor Organization (ILO) through its  International Program on the Elimination of Child Labor (IPEC)  project. ""Child labor and HIV/AIDS are creating a vicious circle, both  of which have been aggravating poverty in Zambia. Many of the HIV/ AIDS affected children enter into child labor and the program will try to cut this vicious circle toward the sustainable development  and poverty eradication in Zambia,"" Louis Ndaba-Hagamye, the ILO  director for Zambia said at the launch of the program. The new program, he said, will make a difference in the  situation of child labor in the southern African country by  focusing on the deep causes of the problem in five areas. These includes national strategy development, national capacity building, advocacy and social mobilization, policy-oriented  research and survey as well as direct intervention to prevent and  withdraw children from child labor.","{'mobilization', 'poverty eradication', 'child labor', 'development', 'poverty'}",0.5725100150693538
NYT_ENG_19990512.0487,"ECONOMIC SCENE: MANEUVERING MINIMUM WAGE BANDWAGON CAREFULLY. Congress will almost certainly raise the minimum wage this year, probably to $6.15 an hour from $5.15, phased in over two to three years. Democrats, as always, are in full support. So, too, are at least 20 moderate House Republicans anxious about next year's election. But whatever the political attraction, does a higher minimum wage make economic sense? A growing number of economists say yes, though there is reason for Congress to move cautiously, perhaps even creatively. The main purpose for raising the minimum wage is to make it possible for all full-time workers to earn enough to lift their families out of poverty. The current minimum wage falls short. By 2000, according to calculations by Isaac Shapiro of the Center on Budget and Policy Priorities, the combination of earnings at $5.15 an hour, $3,600 in food stamps and the earned income tax credit _ a provision of the tax code that has the Treasury send a check of up to $3,880 to low-wage workers _ would bring the annual income of a family of four to about $16,100: $1,400 short of the poverty line. But at a wage of $6.15, the family would fall short by about only $450. Critics, like Prof. David Neumark of Michigan State, say further increases in the minimum wage would make some low-wage workers too expensive to hire. Teen-agers are especially vulnerable. Neumark concludes, ``the net effect of minimum wages is an increase in the proportion of poor families.'' Other critics say that the minimum wage showers help on the wrong people, for example, teen-agers from wealthy families.","{'minimum wage', 'workers', 'vulnerable', 'poverty', 'poor'}",0.5706621004088297
XIN_ENG_20081209.0268,"Full Text: Wang Chen: China Registers Historic Progress in Human
Rights (4). Q. Just as you have mentioned that China has made great achievements in the human rights cause since reform and opening up, but there are still some problems and difficulties that cannot be ignored. As far as the present is concerned, what problems and difficulties do you think still exist in the human rights cause? What is the prospect of the development of human rights in China? A. Human rights are a development process. China is a developing country with a population of 1.3 billion. Due to natural, historical, cultural and economic and social factors, there are still many problems and difficulties in the development of human rights. There are quite a few things less than satisfactory in the human rights conditions in the country. For instance, the political and economic structural systems are yet to be improved; democracy and the legal system remain to be perfected; governments at all levels have to heighten their awareness about protecting human rights and about exercising administration according to law; the economic and social development is uneven and the enlarging gaps between the urban and rural areas, between different regions, and between the rich and the poor have not been brought under control; problems and difficulties are quite outstanding in such areas as employment, social security, income distribution, education, medical service, housing and production safety. All this will affect the immediate interests and rights of the people. It is, therefore, a long-term and arduous task of the Chinese government and people to continue and strengthen their efforts to promote and protect human rights. Despite all these difficulties and problems, I am still fully confident of the prospects of human rights development. First of all, China has put human rights high on the agenda for national development. Running through the entire report to the 17th CPC National Congress are such terms as ""people first,"" improvement of people's livelihood, expansion of democracy and protection of human rights. The report stressed the importance of respecting and protecting human rights and ensuring the rights of all members of the society to equal participation and equal development. The report made a clarion call for improving the democratic system, diversifying the forms of democracy and expanding democratic channels, and ""protecting the people's right to know, right to participation, right to expression and right to oversight."" It also called for acceleration of social construction focusing on the improvement of the livelihood of the people, ""promoting social justice and equity, striving to enable all the people to have school to attend when in need, get due income from labor, have access to due medical treatment when falling ill, get proper care when in old age and have decent and adequate housing."" The 11th five-year development program, from its guidelines, principles, goals to concrete policy measures, is a full expression of the requirements of ""people first,"" scientific development and social harmony. This has charted a clear orientation for the all-round development of human rights. Secondly, over the past 30 years of reform and opening up, China has pioneered a new path best suited to its national conditions in human rights development, which features ""people first,"" stability as precondition, reform as the motive force, development as the key, the rule of law as the guarantee, and comprehensive and coordinated development in the civil, political, economic, social and cultural rights. So long as we continue along this path, China's human rights cause is sure to see new progress as the modernization drive goes on. I firmly believe that so long as we unswervingly implement the constitutional principle of respecting and protecting human rights, constantly improve democracy and the rule of law, our society will become more harmonious and people will live a still better life and enjoy human rights to the full.  (more)","{'control', 'social security', 'development', 'poor', 'human rights'}",0.5550372412738583
APW_ENG_20060222.0356,"Norway contributes to new IMF fund to help poor countries handle economic shocks. Norway pledged 240 million kroner (US$35.5 million or euro30 million) on Wednesday to a new global fund to help poor countries deal with economic shocks. The program was set up by the International Monetary Fund in November to provide highly subsidized loans to poor countries when their economies are hit by war, natural disaster or extreme fluctuations in import or export prices. ""This new scheme will act as a buffer and will help to ensure continuity in the fight against poverty, even in cases where vulnerable, poor countries have to deal with sudden severe economic shocks due to external circumstances,"" Norwegian Aid Minister Erik Solheim said. The fund, called the Exogenous Shocks Facility, was set up as part of the IMF's Poverty Reduction and Growth Facility Trust following a proposal from the world's richest nations, called the Group of Eight. Norway, which is rich on offshore oil, is the world's largest foreign aid donor per capita.","{'shocks', 'vulnerable', 'poverty', 'poor', 'natural disaster'}",0.550427786291685
